task_id,task_number,group_id,group_pos,neighbor_rank,neighbor_task_id,neighbor_task_number,neighbor_group_id,neighbor_group_pos,similarity
"task_0111","1.111","1_028","3","6","task_0149","1.149","1_038","1","0.089982"
"task_0111","1.111","1_028","3","7","task_0158","1.158","1_040","2","0.082384"
"task_0111","1.111","1_028","3","8","task_0176","1.176","1_044","4","0.072531"
"task_0111","1.111","1_028","3","9","task_0186","1.186","1_047","2","0.057506"
"task_0111","1.111","1_028","3","10","task_0649","4.85","4_022","1","0.054384"
"task_0112","1.112","1_028","4","1","task_0110","1.110","1_028","2","0.343833"
"task_0112","1.112","1_028","4","2","task_0158","1.158","1_040","2","0.209512"
"task_0112","1.112","1_028","4","3","task_0111","1.111","1_028","3","0.149453"
"task_0112","1.112","1_028","4","4","task_0101","1.101","1_026","1","0.135446"
"task_0112","1.112","1_028","4","5","task_0105","1.105","1_027","1","0.135335"
"task_0112","1.112","1_028","4","6","task_0160","1.160","1_040","4","0.115843"
"task_0112","1.112","1_028","4","7","task_0075","1.75","1_019","3","0.079154"
"task_0112","1.112","1_028","4","8","task_0097","1.97","1_025","1","0.078834"
"task_0112","1.112","1_028","4","9","task_0095","1.95","1_024","3","0.076535"
"task_0112","1.112","1_028","4","10","task_0051","1.51","1_013","3","0.070308"
"task_0113","1.113","1_029","1","1","task_0115","1.115","1_029","3","0.832534"
"task_0113","1.113","1_029","1","2","task_0119","1.119","1_030","3","0.67098"
"task_0113","1.113","1_029","1","3","task_0117","1.117","1_030","1","0.581323"
"task_0113","1.113","1_029","1","4","task_0062","1.62","1_016","2","0.105657"
"task_0113","1.113","1_029","1","5","task_0128","1.128","1_032","4","0.095231"
"task_0113","1.113","1_029","1","6","task_0075","1.75","1_019","3","0.08198"
"task_0113","1.113","1_029","1","7","task_0007","1.7","1_002","3","0.07966"
"task_0113","1.113","1_029","1","8","task_0086","1.86","1_022","2","0.077779"
"task_0113","1.113","1_029","1","9","task_0080","1.80","1_020","4","0.07737"
"task_0113","1.113","1_029","1","10","task_0082","1.82","1_021","2","0.076488"
"task_0114","1.114","1_029","2","1","task_0116","1.116","1_029","4","0.346249"
"task_0114","1.114","1_029","2","2","task_0118","1.118","1_030","2","0.290453"
"task_0114","1.114","1_029","2","3","task_0095","1.95","1_024","3","0.115341"
"task_0114","1.114","1_029","2","4","task_0120","1.120","1_030","4","0.112876"
"task_0114","1.114","1_029","2","5","task_0073","1.73","1_019","1","0.097724"
"task_0114","1.114","1_029","2","6","task_0075","1.75","1_019","3","0.096279"
"task_0114","1.114","1_029","2","7","task_0099","1.99","1_025","3","0.09582"
"task_0114","1.114","1_029","2","8","task_0041","1.41","1_011","1","0.094169"
"task_0114","1.114","1_029","2","9","task_0121","1.121","1_031","1","0.08797"
"task_0114","1.114","1_029","2","10","task_0005","1.5","1_002","1","0.087123"
"task_0115","1.115","1_029","3","1","task_0113","1.113","1_029","1","0.832534"
"task_0115","1.115","1_029","3","2","task_0119","1.119","1_030","3","0.778675"
"task_0115","1.115","1_029","3","3","task_0117","1.117","1_030","1","0.609477"
"task_0115","1.115","1_029","3","4","task_0062","1.62","1_016","2","0.102346"
"task_0115","1.115","1_029","3","5","task_0128","1.128","1_032","4","0.099052"
"task_0115","1.115","1_029","3","6","task_0080","1.80","1_020","4","0.087987"
"task_0115","1.115","1_029","3","7","task_0082","1.82","1_021","2","0.08617"
"task_0115","1.115","1_029","3","8","task_0075","1.75","1_019","3","0.07919"
"task_0115","1.115","1_029","3","9","task_0007","1.7","1_002","3","0.07702"
"task_0115","1.115","1_029","3","10","task_0073","1.73","1_019","1","0.072909"
"task_0116","1.116","1_029","4","1","task_0114","1.114","1_029","2","0.346249"
"task_0116","1.116","1_029","4","2","task_0118","1.118","1_030","2","0.182506"
"task_0116","1.116","1_029","4","3","task_0075","1.75","1_019","3","0.132927"
"task_0116","1.116","1_029","4","4","task_0073","1.73","1_019","1","0.121622"
"task_0116","1.116","1_029","4","5","task_0005","1.5","1_002","1","0.120777"
"task_0116","1.116","1_029","4","6","task_0120","1.120","1_030","4","0.109441"
"task_0116","1.116","1_029","4","7","task_0069","1.69","1_018","1","0.108279"
"task_0116","1.116","1_029","4","8","task_0095","1.95","1_024","3","0.092096"
"task_0116","1.116","1_029","4","9","task_0080","1.80","1_020","4","0.081645"
"task_0116","1.116","1_029","4","10","task_0047","1.47","1_012","3","0.078474"
"task_0117","1.117","1_030","1","1","task_0115","1.115","1_029","3","0.609477"
"task_0117","1.117","1_030","1","2","task_0119","1.119","1_030","3","0.605405"
"task_0117","1.117","1_030","1","3","task_0113","1.113","1_029","1","0.581323"
"task_0117","1.117","1_030","1","4","task_0062","1.62","1_016","2","0.11052"
"task_0117","1.117","1_030","1","5","task_0086","1.86","1_022","2","0.100564"
"task_0117","1.117","1_030","1","6","task_0067","1.67","1_017","3","0.085595"
"task_0117","1.117","1_030","1","7","task_0063","1.63","1_016","3","0.084348"
"task_0117","1.117","1_030","1","8","task_0110","1.110","1_028","2","0.083408"
"task_0117","1.117","1_030","1","9","task_0128","1.128","1_032","4","0.079753"
"task_0117","1.117","1_030","1","10","task_0118","1.118","1_030","2","0.077395"
"task_0118","1.118","1_030","2","1","task_0114","1.114","1_029","2","0.290453"
"task_0118","1.118","1_030","2","2","task_0116","1.116","1_029","4","0.182506"
"task_0118","1.118","1_030","2","3","task_0048","1.48","1_012","4","0.168438"
"task_0118","1.118","1_030","2","4","task_0046","1.46","1_012","2","0.156487"
"task_0118","1.118","1_030","2","5","task_0120","1.120","1_030","4","0.130463"
"task_0118","1.118","1_030","2","6","task_0045","1.45","1_012","1","0.115974"
"task_0118","1.118","1_030","2","7","task_0095","1.95","1_024","3","0.113913"
"task_0118","1.118","1_030","2","8","task_0041","1.41","1_011","1","0.104471"
"task_0118","1.118","1_030","2","9","task_0186","1.186","1_047","2","0.104164"
"task_0118","1.118","1_030","2","10","task_0075","1.75","1_019","3","0.097568"
"task_0119","1.119","1_030","3","1","task_0115","1.115","1_029","3","0.778675"
"task_0119","1.119","1_030","3","2","task_0113","1.113","1_029","1","0.67098"
"task_0119","1.119","1_030","3","3","task_0117","1.117","1_030","1","0.605405"
"task_0119","1.119","1_030","3","4","task_0128","1.128","1_032","4","0.093703"
"task_0119","1.119","1_030","3","5","task_0080","1.80","1_020","4","0.090313"
"task_0119","1.119","1_030","3","6","task_0082","1.82","1_021","2","0.089301"
"task_0119","1.119","1_030","3","7","task_0062","1.62","1_016","2","0.085274"
"task_0119","1.119","1_030","3","8","task_0131","1.131","1_033","3","0.085104"
"task_0119","1.119","1_030","3","9","task_0140","1.140","1_035","4","0.08264"
"task_0119","1.119","1_030","3","10","task_0110","1.110","1_028","2","0.07945"
"task_0120","1.120","1_030","4","1","task_0118","1.118","1_030","2","0.130463"
"task_0120","1.120","1_030","4","2","task_0114","1.114","1_029","2","0.112876"
"task_0120","1.120","1_030","4","3","task_0116","1.116","1_029","4","0.109441"
"task_0120","1.120","1_030","4","4","task_0133","1.133","1_034","1","0.077741"
"task_0120","1.120","1_030","4","5","task_0185","1.185","1_047","1","0.069297"
"task_0120","1.120","1_030","4","6","task_0186","1.186","1_047","2","0.067709"
"task_0120","1.120","1_030","4","7","task_0047","1.47","1_012","3","0.060656"
"task_0120","1.120","1_030","4","8","task_0095","1.95","1_024","3","0.054823"
"task_0120","1.120","1_030","4","9","task_0099","1.99","1_025","3","0.054537"
"task_0120","1.120","1_030","4","10","task_0045","1.45","1_012","1","0.054487"
"task_0121","1.121","1_031","1","1","task_0123","1.123","1_031","3","0.434331"
"task_0121","1.121","1_031","1","2","task_0125","1.125","1_032","1","0.185893"
"task_0121","1.121","1_031","1","3","task_0126","1.126","1_032","2","0.172768"
"task_0121","1.121","1_031","1","4","task_0039","1.39","1_010","3","0.16716"
"task_0121","1.121","1_031","1","5","task_0006","1.6","1_002","2","0.13227"
"task_0121","1.121","1_031","1","6","task_0128","1.128","1_032","4","0.126098"
"task_0121","1.121","1_031","1","7","task_0041","1.41","1_011","1","0.114623"
"task_0121","1.121","1_031","1","8","task_0054","1.54","1_014","2","0.111102"
"task_0121","1.121","1_031","1","9","task_0139","1.139","1_035","3","0.110973"
"task_0121","1.121","1_031","1","10","task_0007","1.7","1_002","3","0.107721"
"task_0122","1.122","1_031","2","1","task_0167","1.167","1_042","3","0.089274"
"task_0122","1.122","1_031","2","2","task_0150","1.150","1_038","2","0.086343"
"task_0122","1.122","1_031","2","3","task_0171","1.171","1_043","3","0.085856"
"task_0122","1.122","1_031","2","4","task_0095","1.95","1_024","3","0.08555"
"task_0122","1.122","1_031","2","5","task_0099","1.99","1_025","3","0.084438"
"task_0122","1.122","1_031","2","6","task_0118","1.118","1_030","2","0.077951"
"task_0122","1.122","1_031","2","7","task_0047","1.47","1_012","3","0.076851"
"task_0122","1.122","1_031","2","8","task_0114","1.114","1_029","2","0.06868"
"task_0122","1.122","1_031","2","9","task_0097","1.97","1_025","1","0.06446"
"task_0122","1.122","1_031","2","10","task_0121","1.121","1_031","1","0.064326"
"task_0123","1.123","1_031","3","1","task_0121","1.121","1_031","1","0.434331"
"task_0123","1.123","1_031","3","2","task_0037","1.37","1_010","1","0.136287"
"task_0123","1.123","1_031","3","3","task_0006","1.6","1_002","2","0.133776"
"task_0123","1.123","1_031","3","4","task_0127","1.127","1_032","3","0.100993"
"task_0123","1.123","1_031","3","5","task_0086","1.86","1_022","2","0.099077"
"task_0123","1.123","1_031","3","6","task_0041","1.41","1_011","1","0.098546"
"task_0123","1.123","1_031","3","7","task_0109","1.109","1_028","1","0.09813"
"task_0123","1.123","1_031","3","8","task_0363","3.16","3_004","4","0.085288"
"task_0123","1.123","1_031","3","9","task_0096","1.96","1_024","4","0.081671"
"task_0123","1.123","1_031","3","10","task_0048","1.48","1_012","4","0.080443"
"task_0124","1.124","1_031","4","1","task_0128","1.128","1_032","4","0.123156"
"task_0124","1.124","1_031","4","2","task_0095","1.95","1_024","3","0.121818"
"task_0124","1.124","1_031","4","3","task_0126","1.126","1_032","2","0.114468"
"task_0124","1.124","1_031","4","4","task_0039","1.39","1_010","3","0.107521"
"task_0124","1.124","1_031","4","5","task_0125","1.125","1_032","1","0.107258"
"task_0124","1.124","1_031","4","6","task_0671","4.107","4_027","3","0.10265"
"task_0124","1.124","1_031","4","7","task_0099","1.99","1_025","3","0.102433"
"task_0124","1.124","1_031","4","8","task_0121","1.121","1_031","1","0.102393"
"task_0124","1.124","1_031","4","9","task_0139","1.139","1_035","3","0.100578"
"task_0124","1.124","1_031","4","10","task_0137","1.137","1_035","1","0.098843"
"task_0125","1.125","1_032","1","1","task_0126","1.126","1_032","2","0.235794"
"task_0125","1.125","1_032","1","2","task_0039","1.39","1_010","3","0.226591"
"task_0125","1.125","1_032","1","3","task_0127","1.127","1_032","3","0.219992"
"task_0125","1.125","1_032","1","4","task_0006","1.6","1_002","2","0.200065"
"task_0125","1.125","1_032","1","5","task_0139","1.139","1_035","3","0.198476"
"task_0125","1.125","1_032","1","6","task_0137","1.137","1_035","1","0.190258"
"task_0125","1.125","1_032","1","7","task_0121","1.121","1_031","1","0.185893"
"task_0125","1.125","1_032","1","8","task_0105","1.105","1_027","1","0.179305"
"task_0125","1.125","1_032","1","9","task_0177","1.177","1_045","1","0.1669"
"task_0125","1.125","1_032","1","10","task_0159","1.159","1_040","3","0.155443"
"task_0126","1.126","1_032","2","1","task_0128","1.128","1_032","4","0.341069"
"task_0126","1.126","1_032","2","2","task_0007","1.7","1_002","3","0.235952"
"task_0126","1.126","1_032","2","3","task_0125","1.125","1_032","1","0.235794"
"task_0126","1.126","1_032","2","4","task_0137","1.137","1_035","1","0.21212"
"task_0126","1.126","1_032","2","5","task_0006","1.6","1_002","2","0.210638"
"task_0126","1.126","1_032","2","6","task_0039","1.39","1_010","3","0.198462"
"task_0126","1.126","1_032","2","7","task_0121","1.121","1_031","1","0.172768"
"task_0126","1.126","1_032","2","8","task_0139","1.139","1_035","3","0.163319"
"task_0126","1.126","1_032","2","9","task_0105","1.105","1_027","1","0.146489"
"task_0126","1.126","1_032","2","10","task_0008","1.8","1_002","4","0.126396"
"task_0127","1.127","1_032","3","1","task_0125","1.125","1_032","1","0.219992"
"task_0127","1.127","1_032","3","2","task_0025","1.25","1_007","1","0.131153"
"task_0127","1.127","1_032","3","3","task_0126","1.126","1_032","2","0.12511"
"task_0127","1.127","1_032","3","4","task_0123","1.123","1_031","3","0.100993"
"task_0127","1.127","1_032","3","5","task_0137","1.137","1_035","1","0.10069"
"task_0127","1.127","1_032","3","6","task_0043","1.43","1_011","3","0.090253"
"task_0127","1.127","1_032","3","7","task_0001","1.1","1_001","1","0.08706"
"task_0127","1.127","1_032","3","8","task_0004","1.4","1_001","4","0.085088"
"task_0127","1.127","1_032","3","9","task_0180","1.180","1_045","4","0.078412"
"task_0127","1.127","1_032","3","10","task_0139","1.139","1_035","3","0.076426"
"task_0128","1.128","1_032","4","1","task_0126","1.126","1_032","2","0.341069"
"task_0128","1.128","1_032","4","2","task_0139","1.139","1_035","3","0.150635"
"task_0128","1.128","1_032","4","3","task_0007","1.7","1_002","3","0.148952"
"task_0128","1.128","1_032","4","4","task_0125","1.125","1_032","1","0.139811"
"task_0128","1.128","1_032","4","5","task_0006","1.6","1_002","2","0.136839"
"task_0128","1.128","1_032","4","6","task_0039","1.39","1_010","3","0.128675"
"task_0128","1.128","1_032","4","7","task_0121","1.121","1_031","1","0.126098"
"task_0128","1.128","1_032","4","8","task_0124","1.124","1_031","4","0.123156"
"task_0128","1.128","1_032","4","9","task_0073","1.73","1_019","1","0.119283"
"task_0128","1.128","1_032","4","10","task_0137","1.137","1_035","1","0.111591"
"task_0129","1.129","1_033","1","1","task_0133","1.133","1_034","1","0.307621"
"task_0129","1.129","1_033","1","2","task_0135","1.135","1_034","3","0.116845"
"task_0129","1.129","1_033","1","3","task_0131","1.131","1_033","3","0.116619"
"task_0129","1.129","1_033","1","4","task_0149","1.149","1_038","1","0.104899"
"task_0129","1.129","1_033","1","5","task_0053","1.53","1_014","1","0.102654"
"task_0129","1.129","1_033","1","6","task_0160","1.160","1_040","4","0.100219"
"task_0129","1.129","1_033","1","7","task_0071","1.71","1_018","3","0.094406"
"task_0129","1.129","1_033","1","8","task_0021","1.21","1_006","1","0.093413"
"task_0129","1.129","1_033","1","9","task_0067","1.67","1_017","3","0.089287"
"task_0129","1.129","1_033","1","10","task_0061","1.61","1_016","1","0.082268"
"task_0130","1.130","1_033","2","1","task_0134","1.134","1_034","2","0.450782"
"task_0130","1.130","1_033","2","2","task_0136","1.136","1_034","4","0.327355"
"task_0130","1.130","1_033","2","3","task_0132","1.132","1_033","4","0.294241"
"task_0130","1.130","1_033","2","4","task_0083","1.83","1_021","3","0.257166"
"task_0130","1.130","1_033","2","5","task_0341","2.154","2_039","1","0.193536"
"task_0130","1.130","1_033","2","6","task_0079","1.79","1_020","3","0.169772"
"task_0130","1.130","1_033","2","7","task_0337","2.150","2_038","1","0.141063"
"task_0130","1.130","1_033","2","8","task_0310","2.122","2_031","2","0.132057"
"task_0130","1.130","1_033","2","9","task_0312","2.124","2_031","4","0.109262"
"task_0130","1.130","1_033","2","10","task_0311","2.123","2_031","3","0.095453"
"task_0131","1.131","1_033","3","1","task_0135","1.135","1_034","3","0.484611"
"task_0131","1.131","1_033","3","2","task_0023","1.23","1_006","3","0.161784"
"task_0131","1.131","1_033","3","3","task_0187","1.187","1_047","3","0.147826"
"task_0131","1.131","1_033","3","4","task_0062","1.62","1_016","2","0.135759"
"task_0131","1.131","1_033","3","5","task_0056","1.56","1_014","4","0.135707"
"task_0131","1.131","1_033","3","6","task_0185","1.185","1_047","1","0.128922"
"task_0131","1.131","1_033","3","7","task_0024","1.24","1_006","4","0.128706"
"task_0131","1.131","1_033","3","8","task_0054","1.54","1_014","2","0.126564"
"task_0131","1.131","1_033","3","9","task_0022","1.22","1_006","2","0.120338"
"task_0131","1.131","1_033","3","10","task_0138","1.138","1_035","2","0.117056"
"task_0132","1.132","1_033","4","1","task_0136","1.136","1_034","4","0.504589"
"task_0132","1.132","1_033","4","2","task_0130","1.130","1_033","2","0.294241"
"task_0132","1.132","1_033","4","3","task_0134","1.134","1_034","2","0.202718"
"task_0132","1.132","1_033","4","4","task_0079","1.79","1_020","3","0.140857"
"task_0132","1.132","1_033","4","5","task_0083","1.83","1_021","3","0.1342"
"task_0132","1.132","1_033","4","6","task_0341","2.154","2_039","1","0.109829"
"task_0132","1.132","1_033","4","7","task_0310","2.122","2_031","2","0.082474"
"task_0132","1.132","1_033","4","8","task_0337","2.150","2_038","1","0.081642"
"task_0132","1.132","1_033","4","9","task_0312","2.124","2_031","4","0.081292"
"task_0132","1.132","1_033","4","10","task_0311","2.123","2_031","3","0.076021"
"task_0133","1.133","1_034","1","1","task_0129","1.129","1_033","1","0.307621"
"task_0133","1.133","1_034","1","2","task_0174","1.174","1_044","2","0.123679"
"task_0133","1.133","1_034","1","3","task_0131","1.131","1_033","3","0.096976"
"task_0133","1.133","1_034","1","4","task_0150","1.150","1_038","2","0.094888"
"task_0133","1.133","1_034","1","5","task_0135","1.135","1_034","3","0.090767"
"task_0133","1.133","1_034","1","6","task_0120","1.120","1_030","4","0.077741"
"task_0133","1.133","1_034","1","7","task_0187","1.187","1_047","3","0.077169"
"task_0133","1.133","1_034","1","8","task_0119","1.119","1_030","3","0.058785"
"task_0133","1.133","1_034","1","9","task_0021","1.21","1_006","1","0.055942"
"task_0133","1.133","1_034","1","10","task_0099","1.99","1_025","3","0.055235"
"task_0134","1.134","1_034","2","1","task_0130","1.130","1_033","2","0.450782"
"task_0134","1.134","1_034","2","2","task_0136","1.136","1_034","4","0.309873"
"task_0134","1.134","1_034","2","3","task_0132","1.132","1_033","4","0.202718"
"task_0134","1.134","1_034","2","4","task_0341","2.154","2_039","1","0.176579"
"task_0134","1.134","1_034","2","5","task_0083","1.83","1_021","3","0.156297"
"task_0134","1.134","1_034","2","6","task_0079","1.79","1_020","3","0.151932"
"task_0134","1.134","1_034","2","7","task_0337","2.150","2_038","1","0.131778"
"task_0134","1.134","1_034","2","8","task_0343","2.156","2_039","3","0.09064"
"task_0134","1.134","1_034","2","9","task_0310","2.122","2_031","2","0.089124"
"task_0134","1.134","1_034","2","10","task_0312","2.124","2_031","4","0.083661"
"task_0135","1.135","1_034","3","1","task_0131","1.131","1_033","3","0.484611"
"task_0135","1.135","1_034","3","2","task_0023","1.23","1_006","3","0.170473"
"task_0135","1.135","1_034","3","3","task_0054","1.54","1_014","2","0.162728"
"task_0135","1.135","1_034","3","4","task_0056","1.56","1_014","4","0.155811"
"task_0135","1.135","1_034","3","5","task_0022","1.22","1_006","2","0.146312"
"task_0135","1.135","1_034","3","6","task_0024","1.24","1_006","4","0.141551"
"task_0135","1.135","1_034","3","7","task_0021","1.21","1_006","1","0.13306"
"task_0135","1.135","1_034","3","8","task_0140","1.140","1_035","4","0.125071"
"task_0135","1.135","1_034","3","9","task_0129","1.129","1_033","1","0.116845"
"task_0135","1.135","1_034","3","10","task_0041","1.41","1_011","1","0.104904"
"task_0136","1.136","1_034","4","1","task_0132","1.132","1_033","4","0.504589"
"task_0136","1.136","1_034","4","2","task_0130","1.130","1_033","2","0.327355"
"task_0136","1.136","1_034","4","3","task_0134","1.134","1_034","2","0.309873"
"task_0136","1.136","1_034","4","4","task_0310","2.122","2_031","2","0.133647"
"task_0136","1.136","1_034","4","5","task_0079","1.79","1_020","3","0.126441"
"task_0136","1.136","1_034","4","6","task_0341","2.154","2_039","1","0.125828"
"task_0136","1.136","1_034","4","7","task_0312","2.124","2_031","4","0.124143"
"task_0136","1.136","1_034","4","8","task_0083","1.83","1_021","3","0.120951"
"task_0136","1.136","1_034","4","9","task_0337","2.150","2_038","1","0.077665"
"task_0136","1.136","1_034","4","10","task_0311","2.123","2_031","3","0.073818"
"task_0137","1.137","1_035","1","1","task_0139","1.139","1_035","3","0.289567"
"task_0137","1.137","1_035","1","2","task_0008","1.8","1_002","4","0.28202"
"task_0137","1.137","1_035","1","3","task_0105","1.105","1_027","1","0.216041"
"task_0137","1.137","1_035","1","4","task_0126","1.126","1_032","2","0.21212"
"task_0137","1.137","1_035","1","5","task_0006","1.6","1_002","2","0.202251"
"task_0137","1.137","1_035","1","6","task_0039","1.39","1_010","3","0.195879"
"task_0137","1.137","1_035","1","7","task_0087","1.87","1_022","3","0.191971"
"task_0137","1.137","1_035","1","8","task_0125","1.125","1_032","1","0.190258"
"task_0137","1.137","1_035","1","9","task_0073","1.73","1_019","1","0.14502"
"task_0137","1.137","1_035","1","10","task_0069","1.69","1_018","1","0.136327"
"task_0138","1.138","1_035","2","1","task_0140","1.140","1_035","4","0.642116"
"task_0138","1.138","1_035","2","2","task_0139","1.139","1_035","3","0.426489"
"task_0138","1.138","1_035","2","3","task_0187","1.187","1_047","3","0.186695"
"task_0138","1.138","1_035","2","4","task_0027","1.27","1_007","3","0.148923"
"task_0138","1.138","1_035","2","5","task_0017","1.17","1_005","1","0.14772"
"task_0138","1.138","1_035","2","6","task_0110","1.110","1_028","2","0.146104"
"task_0138","1.138","1_035","2","7","task_0071","1.71","1_018","3","0.134896"
"task_0138","1.138","1_035","2","8","task_0025","1.25","1_007","1","0.132774"
"task_0138","1.138","1_035","2","9","task_0075","1.75","1_019","3","0.129547"
"task_0138","1.138","1_035","2","10","task_0182","1.182","1_046","2","0.128953"
"task_0139","1.139","1_035","3","1","task_0138","1.138","1_035","2","0.426489"
"task_0139","1.139","1_035","3","2","task_0140","1.140","1_035","4","0.357098"
"task_0139","1.139","1_035","3","3","task_0006","1.6","1_002","2","0.306761"
"task_0139","1.139","1_035","3","4","task_0137","1.137","1_035","1","0.289567"
"task_0139","1.139","1_035","3","5","task_0039","1.39","1_010","3","0.205841"
"task_0139","1.139","1_035","3","6","task_0007","1.7","1_002","3","0.203601"
"task_0139","1.139","1_035","3","7","task_0125","1.125","1_032","1","0.198476"
"task_0139","1.139","1_035","3","8","task_0069","1.69","1_018","1","0.195913"
"task_0139","1.139","1_035","3","9","task_0073","1.73","1_019","1","0.193045"
"task_0139","1.139","1_035","3","10","task_0014","1.14","1_004","2","0.169193"
"task_0140","1.140","1_035","4","1","task_0138","1.138","1_035","2","0.642116"
"task_0140","1.140","1_035","4","2","task_0139","1.139","1_035","3","0.357098"
"task_0140","1.140","1_035","4","3","task_0187","1.187","1_047","3","0.187773"
"task_0140","1.140","1_035","4","4","task_0075","1.75","1_019","3","0.164829"
"task_0140","1.140","1_035","4","5","task_0110","1.110","1_028","2","0.16453"
"task_0140","1.140","1_035","4","6","task_0027","1.27","1_007","3","0.134247"
"task_0140","1.140","1_035","4","7","task_0135","1.135","1_034","3","0.125071"
"task_0140","1.140","1_035","4","8","task_0025","1.25","1_007","1","0.123297"
"task_0140","1.140","1_035","4","9","task_0131","1.131","1_033","3","0.111912"
"task_0140","1.140","1_035","4","10","task_0073","1.73","1_019","1","0.111226"
"task_0141","1.141","1_036","1","1","task_0142","1.142","1_036","2","0.528332"
"task_0141","1.141","1_036","1","2","task_0150","1.150","1_038","2","0.199669"
"task_0141","1.141","1_036","1","3","task_0093","1.93","1_024","1","0.154116"
"task_0141","1.141","1_036","1","4","task_0143","1.143","1_036","3","0.14606"
"task_0141","1.141","1_036","1","5","task_0151","1.151","1_038","3","0.141972"
"task_0141","1.141","1_036","1","6","task_0144","1.144","1_036","4","0.138587"
"task_0141","1.141","1_036","1","7","task_0050","1.50","1_013","2","0.131591"
"task_0141","1.141","1_036","1","8","task_0125","1.125","1_032","1","0.126897"
"task_0141","1.141","1_036","1","9","task_0052","1.52","1_013","4","0.122738"
"task_0141","1.141","1_036","1","10","task_0177","1.177","1_045","1","0.117236"
"task_0142","1.142","1_036","2","1","task_0141","1.141","1_036","1","0.528332"
"task_0142","1.142","1_036","2","2","task_0093","1.93","1_024","1","0.188818"
"task_0142","1.142","1_036","2","3","task_0052","1.52","1_013","4","0.160559"
"task_0142","1.142","1_036","2","4","task_0150","1.150","1_038","2","0.138772"
"task_0142","1.142","1_036","2","5","task_0097","1.97","1_025","1","0.118964"
"task_0142","1.142","1_036","2","6","task_0050","1.50","1_013","2","0.1118"
"task_0142","1.142","1_036","2","7","task_0188","1.188","1_047","4","0.109545"
"task_0142","1.142","1_036","2","8","task_0041","1.41","1_011","1","0.089021"
"task_0142","1.142","1_036","2","9","task_0149","1.149","1_038","1","0.086386"
"task_0142","1.142","1_036","2","10","task_0143","1.143","1_036","3","0.085674"
"task_0143","1.143","1_036","3","1","task_0144","1.144","1_036","4","0.27395"
"task_0143","1.143","1_036","3","2","task_0182","1.182","1_046","2","0.162544"
"task_0143","1.143","1_036","3","3","task_0141","1.141","1_036","1","0.14606"
"task_0143","1.143","1_036","3","4","task_0150","1.150","1_038","2","0.142059"
"task_0143","1.143","1_036","3","5","task_0047","1.47","1_012","3","0.132544"
"task_0143","1.143","1_036","3","6","task_0025","1.25","1_007","1","0.116622"
"task_0143","1.143","1_036","3","7","task_0137","1.137","1_035","1","0.097904"
"task_0143","1.143","1_036","3","8","task_0049","1.49","1_013","1","0.095273"
"task_0143","1.143","1_036","3","9","task_0045","1.45","1_012","1","0.089727"
"task_0143","1.143","1_036","3","10","task_0118","1.118","1_030","2","0.087569"
"task_0144","1.144","1_036","4","1","task_0143","1.143","1_036","3","0.27395"
"task_0144","1.144","1_036","4","2","task_0141","1.141","1_036","1","0.138587"
"task_0144","1.144","1_036","4","3","task_0047","1.47","1_012","3","0.104396"
"task_0144","1.144","1_036","4","4","task_0049","1.49","1_013","1","0.095698"
"task_0144","1.144","1_036","4","5","task_0025","1.25","1_007","1","0.090035"
"task_0144","1.144","1_036","4","6","task_0126","1.126","1_032","2","0.08533"
"task_0144","1.144","1_036","4","7","task_0114","1.114","1_029","2","0.084703"
"task_0144","1.144","1_036","4","8","task_0050","1.50","1_013","2","0.078953"
"task_0144","1.144","1_036","4","9","task_0180","1.180","1_045","4","0.078676"
"task_0144","1.144","1_036","4","10","task_0027","1.27","1_007","3","0.078188"
"task_0145","1.145","1_037","1","1","task_0147","1.147","1_037","3","0.636499"
"task_0145","1.145","1_037","1","2","task_0148","1.148","1_037","4","0.129193"
"task_0145","1.145","1_037","1","3","task_0146","1.146","1_037","2","0.122752"
"task_0145","1.145","1_037","1","4","task_0067","1.67","1_017","3","0.056245"
"task_0145","1.145","1_037","1","5","task_0179","1.179","1_045","3","0.05577"
"task_0145","1.145","1_037","1","6","task_0063","1.63","1_016","3","0.055425"
"task_0145","1.145","1_037","1","7","task_0026","1.26","1_007","2","0.055058"
"task_0145","1.145","1_037","1","8","task_0028","1.28","1_007","4","0.054903"
"task_0145","1.145","1_037","1","9","task_0071","1.71","1_018","3","0.053999"
"task_0145","1.145","1_037","1","10","task_0009","1.9","1_003","1","0.051273"
"task_0146","1.146","1_037","2","1","task_0148","1.148","1_037","4","0.439199"
"task_0146","1.146","1_037","2","2","task_0042","1.42","1_011","2","0.292019"
"task_0146","1.146","1_037","2","3","task_0044","1.44","1_011","4","0.222076"
"task_0146","1.146","1_037","2","4","task_0147","1.147","1_037","3","0.153155"
"task_0146","1.146","1_037","2","5","task_0145","1.145","1_037","1","0.122752"
"task_0146","1.146","1_037","2","6","task_0029","1.29","1_008","1","0.089836"
"task_0146","1.146","1_037","2","7","task_0085","1.85","1_022","1","0.082731"
"task_0146","1.146","1_037","2","8","task_0031","1.31","1_008","3","0.078134"
"task_0146","1.146","1_037","2","9","task_0002","1.2","1_001","2","0.077635"
"task_0146","1.146","1_037","2","10","task_0088","1.88","1_022","4","0.072352"
"task_0147","1.147","1_037","3","1","task_0145","1.145","1_037","1","0.636499"
"task_0147","1.147","1_037","3","2","task_0146","1.146","1_037","2","0.153155"
